Reference, Value, Footprint, Datasheet
R2,10k,Resistors_SMD:R_1206_HandSoldering,
C10,10nF,Capacitors_SMD:C_1206_HandSoldering,
L2,4uH,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
L1,INDUCTOR,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
R1,12k,Resistors_SMD:R_1206_HandSoldering,
C5,100nF,Capacitors_SMD:C_1206_HandSoldering,
L3,4uH,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
R4,180,Resistors_SMD:R_0805_HandSoldering,
C4,33pF,Capacitors_SMD:C_1206_HandSoldering,
R5,560,Resistors_SMD:R_1206_HandSoldering,
C3,CTRIM,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
R3,1k,Resistors_SMD:R_1206_HandSoldering,
W1,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
C6,CTRIM,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
C9,CTRIM,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
L4,INDUCTOR,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
C11,120pF,Capacitors_SMD:C_1206_HandSoldering,
R9,120,Resistors_SMD:R_1206_HandSoldering,
R6,3.3k,Resistors_SMD:R_1206_HandSoldering,
R7,1.8k,Resistors_SMD:R_1206_HandSoldering,
L5,4uH,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
L6,4uH,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
C12,CTRIM,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
R8,1k,Resistors_SMD:R_1206_HandSoldering,
C13,100nF,Capacitors_SMD:C_1206_HandSoldering,
L7,4uH,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
C16,100nF,Capacitors_SMD:C_1206_HandSoldering,
C14,CTRIM,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
C17,CTRIM,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
C20,CTRIM,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
L8,INDUCTOR,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
L13,INDUCTOR,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
C23,CTRIM,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
C1,CTRIM,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
C2,CTRIM,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
P1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
C19,100nF,Capacitors_SMD:C_1206_HandSoldering,
W8,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
W6,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
W4,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
W2,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
W3,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
W5,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
W7,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
W9,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
L12,4uH,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
L10,4uH,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
L11,4uH,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
L9,4uH,Inductors_NEOSID:Neosid_Inductor_MA-Bs75,
C22,100nF,Capacitors_SMD:C_1206_HandSoldering,
C21,10nF,Capacitors_SMD:C_1206_HandSoldering,
C24,10nF,Capacitors_SMD:C_1206_HandSoldering,
C15,10nF,Capacitors_SMD:C_1206_HandSoldering,
C18,10nF,Capacitors_SMD:C_1206_HandSoldering,
C7,10nF,Capacitors_SMD:C_1206_HandSoldering,
C8,100nF,Capacitors_SMD:C_1206_HandSoldering,
Q3,Q_NPN_EBC,TO_SOT_Packages_THT:TO39EBC,
Q1,Q_NPN_BEC,TO_SOT_Packages_SMD:TO-50-3_LongPad-NoHole_Housing,
Q2,Q_NPN_BEC,TO_SOT_Packages_SMD:TO-50-3_LongPad-NoHole_Housing,
W10,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
W12,TEST_1P,Pin_Headers:Pin_Header_Straight_1x01,
R10,33,Resistors_SMD:R_1206_HandSoldering,
